PROGRAM,PRINCPIAL INVESTIGATOR,INSTITUTE,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,DEPLOYMENT SHIP,IMEI,REF,SERIAL NUMBER,MODEL,SENSOR_MODEL
Argo Canada,Blair Greenan,BIO,2026-02-01,-75.75,-167.75,,300534064599850,4902697,AI2600-24CA006,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo ONC,Kohen Bauer,ONC,2026-08-04,,,,300534063813860,4902632,AD2700-22CA002,GENERIC DEEP FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR"
Argo ONC,Kohen Bauer,ONC,2026-08-06,,,,300534063508930,4902648,AD2700-22CA006,GENERIC DEEP FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR"
Argo Canada,Blair Greenan,BIO,2026-02-01,56.1552,-57.156265,,300125062390780,4902706,10877,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2027-02-01,-76,-167.5,,300125062391790,4902711,10882,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2027-02-01,-76.5,-159,,300125062494580,4902718,10889,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,55.25783333,-53.98916667,JAMES COOK,300125063319510,,P5389A-25CA001,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,55.41866667,-53.82266667,JAMES COOK,300125063415280,,P5389A-25CA002,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,55.607,-53.62566667,JAMES COOK,300125063310200,,P5389A-25CA003,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,55.84016667,-53.38916667,JAMES COOK,300125063313520,,P5389A-25CA004,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,56.10783333,-53.11666667,JAMES COOK,300125063315260,,P5389A-25CA005,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,56.53533333,-52.6735,JAMES COOK,300125063318510,,P5389B-25CA001,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,56.954,-52.23533333,JAMES COOK,300125063411300,,P5389B-25CA002,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,57.37266667,-51.78833333,JAMES COOK,300125063318200,,P5389B-25CA003,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,57.79316667,-51.33733333,JAMES COOK,300125063419060,,P5389B-25CA004,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,58.21666667,-50.8765,JAMES COOK,300125063414050,,P5389B-25CA005,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,58.63733333,-50.41666667,JAMES COOK,300125063413300,,P5389A-25CA006,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,59.06666667,-49.95,JAMES COOK,300125063217740,,P5389A-25CA007,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,59.4765,-49.47166667,JAMES COOK,300125063211730,,P5389A-25CA008,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,59.75,-49.16666667,JAMES COOK,300125063212730,,P5389A-25CA009,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,42.4759,-61.4261,JAMES COOK,300125063213730,,P5389B-25CA006,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,42.8759,-61.6261,JAMES COOK,300125063217730,,P5389B-25CA007,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,43.2057,-57.5132,JAMES COOK,300125063128670,,P5389B-25CA008,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Dalhousie,Katja Fennel,Dal,2026-06-01,43.4057,-57.7132,JAMES COOK,300125063215730,,P5389B-25CA009,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
